estimated_palkhi_time,count
2025-06-29 16:00,2
2025-06-28 11:00,1
2025-06-28 13:00,1
2025-06-28 14:30,1
2025-06-28 08:30,1
2025-06-28 17:00,1
2025-06-29 08:30,1
2025-06-29 12:00,1
2025-06-30 07:00,1
2025-06-30 12:30,1
2025-06-27 07:30,1
2025-06-27 11:00,1
2025-06-28 15:00,1
2025-06-29 09:00,1
2025-06-30 06:00,1
2025-06-30 08:30,1
2025-06-30 12:00,1
2025-07-01 06:00,1
2025-07-01 09:00,1
2025-07-01 12:00,1
2025-07-01 14:30,1
2025-07-01 17:30,1
2025-07-02 06:00,1
2025-06-26 08:00,1
2025-06-26 10:30,1
2025-06-26 13:00,1
2025-06-26 14:30,1
2025-06-26 16:00,1
2025-06-27 08:30,1
