departure_time,count
2025-06-20 06:00,1
2025-06-20 09:00,1
2025-06-20 10:30,1
2025-06-20 12:00,1
2025-06-20 14:00,1
2025-06-20 16:00,1
2025-06-21 06:00,1
2025-06-21 08:00,1
2025-06-21 10:00,1
2025-06-21 12:00,1
2025-06-21 14:30,1
2025-06-21 16:30,1
2025-06-22 06:00,1
2025-06-22 09:00,1
2025-06-22 10:45,1
2025-06-22 12:30,1
2025-06-22 14:15,1
2025-06-22 16:00,1
2025-06-23 06:00,1
2025-06-23 08:00,1
2025-06-23 10:00,1
2025-06-23 12:00,1
2025-06-23 14:00,1
2025-06-23 16:00,1
2025-06-24 06:00,1
2025-06-24 08:00,1
2025-06-24 10:00,1
2025-06-24 11:30,1
2025-06-24 13:00,1
2025-06-24 14:30,1
