arrival_time,count
2025-06-20 08:00,1
2025-06-20 10:00,1
2025-06-20 11:30,1
2025-06-20 13:00,1
2025-06-20 15:30,1
2025-06-20 17:15,1
2025-06-21 07:30,1
2025-06-21 09:30,1
2025-06-21 11:30,1
2025-06-21 13:45,1
2025-06-21 15:45,1
2025-06-21 18:00,1
2025-06-22 08:30,1
2025-06-22 10:15,1
2025-06-22 12:00,1
2025-06-22 13:45,1
2025-06-22 15:30,1
2025-06-22 17:00,1
2025-06-23 07:30,1
2025-06-23 09:30,1
2025-06-23 11:30,1
2025-06-23 13:30,1
2025-06-23 15:30,1
2025-06-23 17:15,1
2025-06-24 07:30,1
2025-06-24 09:30,1
2025-06-24 11:00,1
2025-06-24 12:30,1
2025-06-24 14:00,1
2025-06-24 15:45,1
